127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000411
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000731
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000443
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000602
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000596
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.004698
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000607
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000766
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000710
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001799
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001538
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000425
127.0.0.1, 2016-08-11 22:15:06, GET, /gap2py/default/index, HTTP/1.1, 200, 0.025401
127.0.0.1, 2016-08-11 22:15:09, GET, /mnos/hb/, HTTP/1.1, 404, 0.000441
127.0.0.1, 2016-08-11 22:15:19, GET, /mnos/hb/, HTTP/1.1, 404, 0.000267
127.0.0.1, 2016-08-11 22:15:22, GET, /gap2py/default/user/login, HTTP/1.1, 200, 0.025546
127.0.0.1, 2016-08-11 22:15:25, POST, /gap2py/default/user/login, HTTP/1.1, 200, 0.020087
127.0.0.1, 2016-08-11 22:15:27, GET, /gap2py/default/index, HTTP/1.1, 200, 0.017425
127.0.0.1, 2016-08-11 22:15:29, GET, /mnos/hb/, HTTP/1.1, 404, 0.000264
127.0.0.1, 2016-08-11 22:15:29, GET, /admin/default/site, HTTP/1.1, 200, 0.041504
127.0.0.1, 2016-08-11 22:15:39, GET, /mnos/hb/, HTTP/1.1, 404, 0.000403
127.0.0.1, 2016-08-11 22:15:40, GET, /gap2py/default/index, HTTP/1.1, 200, 0.017435
127.0.0.1, 2016-08-11 22:15:41, GET, /gap2py/default/index, HTTP/1.1, 200, 0.015769
127.0.0.1, 2016-08-11 22:15:42, GET, /admin/default/site, HTTP/1.1, 200, 0.037451
127.0.0.1, 2016-08-11 22:15:46, GET, /gap2py/default/index, HTTP/1.1, 200, 0.017868
127.0.0.1, 2016-08-11 22:15:49, GET, /mnos/hb/, HTTP/1.1, 404, 0.000368
127.0.0.1, 2016-08-11 22:15:59, GET, /mnos/hb/, HTTP/1.1, 404, 0.000410
127.0.0.1, 2016-08-11 22:16:09, GET, /mnos/hb/, HTTP/1.1, 404, 0.000425
127.0.0.1, 2016-08-11 22:16:17, GET, /gap2py/default/index, HTTP/1.1, 200, 0.034900
127.0.0.1, 2016-08-11 22:16:19, GET, /mnos/hb/, HTTP/1.1, 404, 0.000251
127.0.0.1, 2016-08-11 22:16:27, GET, /gap2py/default/index, HTTP/1.1, 200, 0.030771
127.0.0.1, 2016-08-11 22:16:29, GET, /mnos/hb/, HTTP/1.1, 404, 0.000393
127.0.0.1, 2016-08-11 22:16:33, GET, /gap2py/default/index, HTTP/1.1, 200, 0.029974
127.0.0.1, 2016-08-11 22:16:39, GET, /mnos/hb/, HTTP/1.1, 404, 0.000426
